Latitude,Longitude,Metric population
50.493219677,30.508663099,2.28
50.496402259,30.509948379,2.36
50.496392321,30.511891027,2.36
50.496024775,30.504326265,2.44
50.495467748,30.504225765,2.26
50.496360870,30.506540283,2.24
50.494386346,30.506695138,2.39
50.491313567,30.512188271,2.44
50.494633184,30.510315160,2.52
50.492792129,30.513258962,2.37
50.493809462,30.510752414,2.25
50.494723948,30.511785447,2.63
50.492873375,30.516341597,2.25
50.437295650,30.501182264,1.35
50.510150428,30.497595974,2.69
50.509521102,30.496652542,2.06
50.509522402,30.495765291,2.06
50.509676735,30.493901468,2.53
50.510992352,30.496100514,2.55
50.510445699,30.494756088,2.38
50.492800998,30.512388099,2.37
50.492238050,30.512544050,0.53
50.491989225,30.512709056,1.81
50.491736550,30.512835900,1.78
50.491677400,30.514651106,2.28
50.492509425,30.517150498,2.30
50.492644035,30.519461084,2.27
50.493798925,30.516692208,2.25
50.491943418,30.516884564,2.27
50.491848150,30.516092250,1.78
50.493780125,30.519695296,2.23
50.492746840,30.520541917,2.26
50.492084800,30.520810012,2.32
50.490693698,30.508804706,2.28
50.489564098,30.493537221,2.45
50.496873537,30.508255822,2.36
50.497464639,30.507668666,2.35
50.498046368,30.507135381,2.32
50.497082369,30.509336374,2.21
50.517016784,30.486956473,2.26
50.516422872,30.486542866,2.22
50.516040833,30.487826875,2.22
50.515066702,30.488728526,2.26
50.515434086,30.487366510,2.23
50.514994522,30.485818017,2.75
50.514448288,30.488307621,2.35
50.513664338,30.486311769,2.25
50.510274976,30.486210696,2.22
50.510310966,30.489412903,2.73
50.516450455,30.488359594,2.81
50.512244474,30.489256918,2.34
50.511787707,30.490659822,2.69
50.509801450,30.488517700,2.34
50.508767957,30.485766860,2.77
50.508530260,30.486622915,2.40
50.509298584,30.489764966,2.61
50.509771745,30.490487682,1.92
50.495317616,30.508836218,3.04
50.492644940,30.506722955,2.54
50.497630988,30.504645287,2.56
50.498970772,30.506212150,2.32
50.499554435,30.505565125,2.38
50.501410203,30.504923789,2.17
50.503820581,30.509120841,2.75
50.503982356,30.507971452,2.48
50.501921717,30.505417363,2.17
50.502444923,30.505899224,2.18
50.502491595,30.507085228,2.36
50.503237556,30.510573447,2.53
50.501678231,30.511049980,2.69
50.501082825,30.512539037,2.53
50.502412751,30.512119936,2.15
50.502427102,30.509421238,2.20
50.502229439,30.499561383,2.54
50.498397362,30.501090724,2.55
50.493533851,30.506193975,2.34
50.497580879,30.512461573,2.69
50.491984003,30.513559801,1.77
50.492234972,30.513409535,1.74
50.491717881,30.506202485,2.85
50.495978167,30.505675114,2.29
50.494514369,30.505002168,2.55
50.495722137,30.505533649,2.13
50.504949378,30.487509930,1.93
50.506308828,30.485742935,2.05
50.506474250,30.486327450,1.77
50.508086387,30.488510432,2.36
50.510932751,30.488162058,2.07
50.508586101,30.489128946,2.57
50.504036200,30.493452588,2.46
50.502934911,30.495153455,2.46
50.502047575,30.495199770,2.68
50.503781250,30.489942091,2.30
50.506634394,30.491238273,2.04
50.505877213,30.491676224,2.62
50.506614737,30.493114836,2.48
50.507786132,30.490722838,2.31
50.504985156,30.491962909,2.47
50.506855723,30.490316929,2.53
50.510026691,30.492545041,2.37
50.508748432,30.492496438,2.34
50.511386174,30.494580727,2.72
50.506953502,30.493988210,2.82
50.504675500,30.494286451,2.06
50.502933346,30.494311343,2.47
50.503227991,30.496400975,2.34
50.504292896,30.495020568,2.06
50.502908209,30.492447446,2.88
50.504871059,30.495843152,2.50
50.504381400,30.497415872,2.46
50.502263902,30.497153406,2.38
50.503239491,30.497376929,2.35
50.498030542,30.509861183,2.55
50.498943820,30.510516779,1.13
50.499539096,30.513026152,2.70
50.500135378,30.510493077,2.37
50.500280748,30.511387000,2.18
50.473470004,30.506317354,1.97
50.472749921,30.506339271,2.21
50.473251500,30.506886000,1.99
50.473725697,30.507810556,2.19
50.524141992,30.504542446,2.39
50.523775550,30.503035850,2.37
50.526351682,30.502341246,2.05
50.523719887,30.506943226,2.17
50.525662208,30.504830340,2.16
50.526065412,30.506399225,2.36
50.513213605,30.510580414,2.81
50.515150723,30.514037320,3.14
50.513875984,30.509205746,2.36
50.514440828,30.509955601,2.36
50.515006533,30.510737427,2.36
50.523654785,30.510875725,2.18
50.435860650,30.528165900,2.18
50.434956958,30.529243777,2.48
50.430492050,30.549732000,2.06
50.436527255,30.527338006,2.13
50.437071769,30.526606607,1.96
50.437528597,30.525946112,1.89
50.438017808,30.525346495,1.99
50.433952800,30.530537600,2.33
50.433131200,30.531503450,1.82
50.432521026,30.532261740,1.84
50.431347254,30.533710691,2.64
50.428971288,30.532011600,2.00
50.432660694,30.529490708,2.38
50.428319793,30.531832808,2.24
50.428050866,30.532627101,2.01
50.428648500,30.528606050,1.88
50.427880734,30.534038695,2.14
