Latitude,Longitude,Metric population,Building Id,Nearest Store,Distance to Nearest Store (km)
50.467172311,30.419283255,0.75,11759,Store 90,1.109
50.52039655,30.4369517,0.96,11760,Store 51,1.072
50.520619006,30.436029912,1.61,11761,Store 51,1.13
50.3934821,30.4743748,2.8,11762,Store 39,1.538
50.392614404,30.460534555,2.02,11763,Store 39,0.94
50.514789465,30.59387343,2.97,11764,Store 41,0.604
50.462091763,30.62785389,1.39,11765,Store 44,1.058
50.350102745,30.453774564,0.93,11766,Store 37,2.685
50.347667683,30.448863177,1.36,11767,Store 37,2.913
50.348310657,30.448947117,1.2,11768,Store 37,2.842
50.348990571,30.448470484,1.07,11769,Store 37,2.765
50.3494782,30.448192398,1.08,11770,Store 37,2.71
50.350775189,30.446948568,1.4,11771,Store 37,2.564
50.350233332,30.447761618,1.19,11772,Store 37,2.625
50.399441034,30.393894666,1.86,11773,Store 11,1.512
50.398805133,30.392477371,1.11,11774,Store 11,1.625
50.401829992,30.394085106,1.18,11775,Store 11,1.282
50.400862285,30.394960179,1.49,11776,Store 11,1.338
50.399888396,30.389358788,1.92,11777,Store 11,1.661
50.398914884,30.388576959,1.14,11778,Store 11,1.779
50.398226163,30.387853273,0.98,11779,Store 11,1.87
50.395302412,30.382148186,1.39,11780,Store 11,2.381
50.498105477,30.516054861,2.25,11781,Store 17,0.131
50.498320809,30.514760316,2.49,11782,Store 17,0.225
50.4224567,30.703287683,0.89,11783,Store 83,3.08
50.422309341,30.703947546,2.57,11784,Store 83,3.12
50.42208478,30.704530102,2.55,11785,Store 83,3.153
50.421863805,30.705046103,2.54,11786,Store 83,3.181
50.423999409,30.697792428,2.62,11787,Store 83,2.774
50.348962701,30.478730741,1.22,11788,Store 37,3.575
50.348953749,30.477903798,1.25,11789,Store 37,3.539
50.347908379,30.478991858,1.3,11790,Store 37,3.678
50.348993657,30.479297922,1.22,11791,Store 37,3.598
50.347980964,30.477792167,1.24,11792,Store 37,3.619
50.345669265,30.477994317,1.07,11793,Store 37,3.835
50.346174512,30.477951074,1.2,11794,Store 37,3.787
50.347055474,30.477932764,1.22,11795,Store 37,3.707
50.346816788,30.478331157,1.26,11796,Store 37,3.745
50.346793954,30.478885445,1.22,11797,Store 37,3.771
50.345224591,30.47644861,2.61,11798,Store 37,3.814
50.345192829,30.475553208,1.35,11799,Store 37,3.782
50.346204574,30.476459175,1.27,11800,Store 37,3.724
50.347149307,30.476469506,1.27,11801,Store 37,3.638
50.348159051,30.476408244,1.26,11802,Store 37,3.544
50.349732951,30.474693652,2.41,11803,Store 37,3.331
50.34820812,30.47553837,1.15,11804,Store 37,3.504
50.347147635,30.475537373,1.19,11805,Store 37,3.6
50.34621235,30.4755352,1.18,11806,Store 37,3.686
50.347242459,30.47489304,2.4,11807,Store 37,3.566
50.346242483,30.474918226,2.25,11808,Store 37,3.659
50.3452357,30.47495845,1.29,11809,Store 37,3.755
50.400787095,30.542049049,2.64,11810,Store 28,1.137
50.400602673,30.541496768,2.97,11811,Store 28,1.167
50.377982233,30.54024613,2.61,11812,Store 34,3.117
50.38018915,30.533349,2.42,11813,Store 34,3.222
50.380739152,30.532928435,2.77,11814,Store 34,3.198
50.432210426,30.324197647,1.04,11815,Store 87,3.049
50.43247208,30.324628138,0.99,11816,Store 87,3.008
50.432055905,30.324766322,0.96,11817,Store 87,3.044
50.432401265,30.325639342,1.31,11818,Store 87,2.98
50.432780271,30.327418073,1.21,11819,Store 87,2.884
50.432491467,30.326203067,0.99,11820,Store 87,2.952
50.432663742,30.326699117,1.15,11821,Store 87,2.919
50.433808332,30.331129482,1.29,11822,Store 87,2.67
50.426435555,30.333520636,1.03,11823,Store 87,3.394
50.426276041,30.331989633,0.98,11824,Store 87,3.44
50.425749387,30.332311106,0.94,11825,Store 87,3.49
50.427456075,30.326326454,0.89,11826,Store 87,3.453
50.430755633,30.324477264,0.82,11827,Store 87,3.18
50.430350206,30.324732104,0.97,11828,Store 87,3.212
50.431570296,30.323961131,0.49,11829,Store 87,3.119
50.43513091,30.320597535,0.82,11830,Store 87,2.92
50.500839783,30.423631599,3.01,11831,Store 68,0.551
50.500211648,30.424399957,2.66,11832,Store 68,0.578
50.4261978,30.536271655,2.71,11833,Store 40,0.415
50.390700797,30.476420217,2.91,11834,Store 39,1.478
50.3903912,30.47890705,2.95,11835,Store 39,1.62
50.496992279,30.505487096,2.39,11836,Store 2,0.518
50.397589556,30.470343311,2.3,11837,Store 39,1.712
50.490642108,30.405286731,2.05,11838,Store 90,1.996
50.488199013,30.342179256,1.02,11839,Store 8,1.406
50.488829515,30.34249284,1.09,11840,Store 8,1.348
50.39816461,30.692674759,3.03,11841,Store 12,2.125
50.398468939,30.693472516,3.07,11842,Store 12,2.16
50.4032652,30.5101696,2.62,11843,Store 1,1.588
50.409896271,30.506767598,3.12,11844,Store 45,1.138
50.409003691,30.506055955,3.33,11845,Store 45,1.242
50.4108097,30.50306875,2.87,11846,Store 45,1.296
50.411026788,30.500244835,2.71,11847,Store 45,1.463
50.525274025,30.492165578,2.35,11848,Store 56,0.81
50.525259425,30.494936978,2.35,11849,Store 65,0.614
50.524914858,30.493035331,2.43,11850,Store 56,0.743
50.524913658,30.495776631,2.43,11851,Store 65,0.555
50.520366993,30.485897735,2.27,11852,Store 56,0.9
50.520360364,30.488800715,2.27,11853,Store 56,0.698
50.521737315,30.490100916,2.27,11854,Store 56,0.657
50.521743804,30.487235246,2.27,11855,Store 56,0.845
50.522434954,30.487847076,2.27,11856,Store 56,0.834
50.388126648,30.390808984,2.04,11857,Store 11,2.744
50.387946632,30.39031517,2.24,11858,Store 11,2.775
50.413240764,30.65325245,2.95,11859,Store 3,0.206
50.52551296,30.496261347,2.54,11860,Store 65,0.523
50.523969611,30.495153978,2.42,11861,Store 56,0.58
50.415962269,30.632540894,2.88,11862,Store 27,0.358
50.41565555,30.62944465,2.62,11863,Store 27,0.538
50.415013402,30.629752422,2.62,11864,Store 27,0.497
50.51087445,30.4857734,2.22,11865,Store 47,0.719
50.511350576,30.485982946,2.22,11866,Store 47,0.758
50.511296017,30.486805425,2.22,11867,Store 47,0.727
50.409496343,30.361180526,0.8,11868,Store 38,2.292
50.38544175,30.45543295,2.08,11869,Store 39,0.231
50.39060705,30.46423345,1.76,11870,Store 39,0.823
50.500981066,30.424803742,2.6,11871,Store 68,0.49
50.412536917,30.550444313,2.85,11872,Store 28,0.388
50.412416785,30.551667997,2.26,11873,Store 28,0.458
50.411624796,30.553926865,1.77,11874,Store 28,0.587
50.41982186,30.533355207,2.87,11875,Store 81,0.426
50.476799836,30.672185184,1.98,11876,Store 43,2.483
50.498498263,30.357153081,1.48,11877,Store 8,0.337
50.503881901,30.590093053,2.4,11878,Store 29,1.077
50.503224399,30.589031991,2.41,11879,Store 29,1.144
50.510875855,30.493361691,2.37,11880,Store 54,0.321
50.371268931,30.455261117,2.74,11881,Store 37,0.664
50.506744264,30.504395779,2.27,11882,Store 16,0.368
50.343204741,30.475718397,0.98,11883,Store 37,3.976
50.3442228,30.476500639,1.36,11884,Store 37,3.909
50.343424602,30.476502301,1.42,11885,Store 37,3.984
50.386463483,30.448393136,2.41,11886,Store 39,0.732
50.414995481,30.53099946,2.58,11887,Store 81,0.138
50.488922046,30.611685208,3.11,11888,Store 79,0.691
50.506055691,30.411704229,2.89,11889,Store 67,0.753
50.469668419,30.611739536,2.73,11890,Store 23,0.598
50.46948635,30.61235495,2.84,11891,Store 23,0.587
50.457873097,30.630340568,2.67,11892,Store 35,0.734
50.457349644,30.630680186,2.67,11893,Store 35,0.673
50.455047182,30.629543728,3.1,11894,Store 35,0.452
50.496193665,30.373459396,2.2,11895,Store 8,1.071
50.43576048,30.623932581,1.86,11896,Store 84,1.443
50.4355922,30.6240991,1.95,11897,Store 84,1.422
50.43539016,30.624182696,1.94,11898,Store 84,1.403
50.4692981,30.52205805,2.51,11899,Store 92,0.392
50.505207176,30.411452187,2.9,11900,Store 67,0.83
50.505625462,30.408708437,2.87,11901,Store 67,0.949
50.506413503,30.40904876,2.86,11902,Store 67,0.882
50.424816226,30.522446784,3.12,11903,Store 40,0.637
50.3876961,30.4587019,1.47,11904,Store 39,0.38
50.387867103,30.45902523,1.87,11905,Store 39,0.402
50.387116273,30.455201158,0.5,11906,Store 39,0.377
50.428283586,30.597452585,2.61,11907,Store 58,0.286
50.514914219,30.59178291,1.0,11908,Store 41,0.742
50.515541083,30.591426168,0.79,11909,Store 41,0.752
50.5157764,30.5942362,2.47,11910,Store 41,0.552
50.480195496,30.671577488,1.33,11911,Store 43,2.332
50.479960642,30.670946201,1.17,11912,Store 43,2.294
50.47989971,30.67026099,1.14,11913,Store 43,2.249
50.4798322,30.669876423,0.98,11914,Store 43,2.224
50.427637237,30.525649546,2.69,11915,Store 40,0.356
50.427378288,30.526040184,2.7,11916,Store 40,0.326
50.434425142,30.53214218,2.99,11917,Store 77,0.797
50.445535783,30.431549202,1.92,11918,Store 10,0.885
50.4795431,30.47841955,1.95,11919,Store 4,0.872
50.3809233,30.4632747,2.45,11920,Store 39,0.522
50.383148374,30.465225344,2.46,11921,Store 39,0.518
50.355573535,30.438972581,2.99,11922,Store 37,2.105
50.45976465,30.51180335,1.38,11923,Store 74,0.593
50.407327277,30.62592197,2.64,11924,Store 22,0.472
50.407617085,30.626931332,2.84,11925,Store 22,0.427
50.532165056,30.623362251,2.74,11926,Store 5,1.065
50.402274375,30.384487705,2.23,11927,Store 11,1.743
50.401485845,30.385816857,0.53,11928,Store 11,1.719
50.40126098,30.385573196,0.57,11929,Store 11,1.748
50.401532652,30.38495457,0.48,11930,Store 11,1.764
50.401757373,30.384653408,0.56,11931,Store 11,1.766
50.387303374,30.626298128,2.98,11932,Store 52,1.433
50.389031759,30.629190842,2.6,11933,Store 52,1.158
50.387518825,30.627403747,2.89,11934,Store 52,1.368
50.400334121,30.38938393,0.81,11935,Store 11,1.622
50.401424605,30.386524733,0.49,11936,Store 11,1.685
50.400960394,30.387918893,0.59,11937,Store 11,1.645
50.400812307,30.387764268,0.58,11938,Store 11,1.664
50.40040785,30.3878671,1.82,11939,Store 11,1.691
50.400216614,30.391904575,0.69,11940,Store 11,1.519
50.403084127,30.38131414,2.13,11941,Store 11,1.888
50.402624939,30.380871562,2.13,11942,Store 11,1.94
50.514642121,30.499883012,2.87,11943,Store 54,0.303
50.391007244,30.631110209,2.57,11944,Store 52,0.9
50.49144075,30.58674915,1.69,11945,Store 71,0.245
50.406444882,30.667225705,2.04,11946,Store 12,0.105
50.365589229,30.686802037,1.31,11947,Store 12,4.843
50.526463458,30.500013501,2.81,11948,Store 65,0.3
50.468498618,30.636660392,2.67,11949,Store 44,0.961
50.45114795,30.586403721,2.95,11950,Store 88,0.784
50.480407245,30.595149251,2.02,11951,Store 63,0.459
50.4817964,30.59144855,1.93,11952,Store 63,0.416
50.4994098,30.499558349,1.65,11953,Store 46,0.635
50.4596575,30.58602105,2.42,11954,Store 88,0.672
50.415587102,30.525835114,2.78,11955,Store 1,0.25
50.415468991,30.525326581,2.16,11956,Store 1,0.213
50.415065359,30.525938191,2.59,11957,Store 1,0.256
50.422123136,30.512957028,2.12,11958,Store 45,0.756
50.423282626,30.513687575,2.94,11959,Store 45,0.841
50.436783582,30.616606479,1.88,11960,Store 73,1.747
50.43668886,30.616285045,1.88,11961,Store 73,1.726
50.43659383,30.615961357,1.88,11962,Store 73,1.706
50.436452139,30.615701064,2.15,11963,Store 73,1.691
50.469972063,30.514604159,1.42,11964,Store 92,0.254
50.449750214,30.594000449,2.86,11965,Store 89,0.498
50.450708077,30.52100456,1.59,11966,Store 6,1.068
50.354166587,30.429992074,2.22,11967,Store 37,2.49
50.361907153,30.412746107,2.13,11968,Store 37,2.755
50.361813633,30.414396358,1.45,11969,Store 37,2.658
50.5358694,30.47235795,0.53,11970,Store 64,1.895
50.430992596,30.477891184,3.0,11971,Store 42,1.018
50.46948348,30.480094983,1.92,11972,Store 4,0.265
